step,date,reserves,totalLoans,totalDeposits,equity,totalAssets,grossInterestIncome,depositInterestExpense,chargeOffLosses,netIncome,totalActiveLoans,numDefaulted,numChargedOff,numNewLoans,policyRate,unemploymentRate,depositorConfidence
1,2024-02-01,5939273.11,1377460.62,2291407.48,5025326.25,7316733.73,9049.57,3330.27,0.00,5719.30,55,0,0,55,0.05,0.04,0.95
2,2024-03-01,6585327.04,1366828.61,2901587.59,5050568.06,7952155.65,8974.94,3340.09,0.00,5634.85,55,0,0,55,0.05,0.04,0.95
3,2024-04-01,7228206.03,1356121.50,3508602.50,5075725.03,8584327.53,8899.85,3349.83,0.00,5550.02,55,0,0,55,0.05,0.04,0.95
4,2024-05-01,7860655.14,1345338.68,4105197.29,5100796.53,9205993.81,8824.13,3359.59,0.00,5464.54,55,0,0,55,0.05,0.04,0.95
5,2024-06-01,8509630.79,1334479.67,4718328.41,5125782.05,9844110.46,8747.95,3369.38,0.00,5378.57,55,0,0,55,0.05,0.04,0.95
6,2024-07-01,9159819.01,1323543.88,5332681.89,5150680.99,10483362.89,8671.16,3379.17,0.00,5291.99,55,0,0,55,0.07,0.08,0.75
7,2024-08-01,9805248.27,1312530.80,5942286.32,5175492.75,11117779.06,8593.87,3389.07,0.00,5204.80,55,0,0,55,0.07,0.08,0.75
8,2024-09-01,10454905.17,1301439.87,6556128.30,5200216.74,11756345.04,8516.03,3398.99,0.00,5117.04,55,0,0,55,0.07,0.08,0.75
9,2024-10-01,11083864.09,1290270.48,7149282.10,5224852.47,12374134.57,8437.56,3408.79,0.00,5028.77,55,0,0,55,0.07,0.08,0.75
10,2024-11-01,11711453.25,1279022.14,7741076.19,5249399.21,12990475.40,8358.62,3418.83,0.00,4939.79,55,0,0,55,0.07,0.08,0.75
11,2024-12-01,12341314.35,1267694.29,8335152.16,5273856.47,13609008.64,8279.10,3428.79,0.00,4850.31,55,0,0,55,0.07,0.08,0.75
12,2025-01-01,12957449.76,1256286.32,8915512.44,5298223.64,14213736.08,8198.99,3438.78,0.00,4760.21,55,0,0,55,0.07,0.08,0.75
13,2025-02-01,13600018.02,1244797.69,9522315.61,5322500.09,14844815.71,8118.32,3448.82,0.00,4669.50,55,0,0,55,0.07,0.08,0.75
14,2025-03-01,14232949.95,1233227.83,10119492.51,5346685.27,15466177.78,8037.09,3458.87,0.00,4578.22,55,0,0,55,0.07,0.08,0.75
15,2025-04-01,14855725.36,1221576.19,10706522.92,5370778.63,16077301.55,7955.32,3468.91,0.00,4486.41,55,0,0,55,0.07,0.08,0.75
16,2025-05-01,15461308.46,1209842.13,11276371.16,5394779.43,16671150.59,7872.89,3479.05,0.00,4393.84,55,0,0,55,0.07,0.08,0.75
17,2025-06-01,16121204.95,1198025.06,11900542.94,5418687.08,17319230.01,7789.89,3489.19,0.00,4300.70,55,0,0,55,0.07,0.08,0.75
18,2025-07-01,16757404.40,1186124.46,12501027.91,5442500.94,17943528.86,7706.35,3499.44,0.00,4206.91,55,0,0,55,0.06,0.06,0.90
19,2025-08-01,17396173.46,1174139.66,13104092.64,5466220.48,18570313.12,7622.15,3509.57,0.00,4112.58,55,0,0,55,0.06,0.06,0.90
20,2025-09-01,18037442.05,1162070.10,13709667.18,5489844.97,19199512.15,7537.40,3519.86,0.00,4017.54,55,0,0,55,0.06,0.06,0.90
21,2025-10-01,18683366.63,1149915.16,14319907.97,5513373.82,19833281.79,7452.01,3530.12,0.00,3921.89,55,0,0,55,0.06,0.06,0.90
22,2025-11-01,19340064.69,1137674.26,14940932.52,5536806.44,20477738.96,7366.06,3540.39,0.00,3825.67,55,0,0,55,0.06,0.06,0.90
23,2025-12-01,19994006.45,1125346.79,15559211.04,5560142.19,21119353.24,7279.48,3550.68,0.00,3728.80,55,0,0,55,0.06,0.06,0.90
24,2026-01-01,20627907.88,1084656.02,16157459.66,5555104.24,21712563.90,7192.27,3561.09,28276.08,-24644.90,54,0,1,55,0.06,0.06,0.90
